method,sparsity,scaling_coefficients,math_acc,law_acc,mean_bleu,normalized_math,normalized_law,normalized_mean
ties,0,"[0.7, 1.2]",0.9253,0.7007,0.813,96.78870293,99.48885418,98.13477856
ties,0.25,"[0.8, 1.1]",0.9456,0.6886,0.8171,98.91213389,97.77083629,98.34148509
ties,0.5,"[0.8, 1.1]",0.9479,0.6871,0.8175,99.15271967,97.55785887,98.35528927
ties,0.75,"[0.7, 1.1]",0.932,0.6943,0.81315,97.48953975,98.5801505,98.03484513
dare,0,"[0.5, 0.7]",0.9366,0.69,0.8133,97.98096035,97.96961522,97.97428779
dare,0.25,"[0.6, 0.9]",0.9426,0.6936,0.8181,98.59832636,98.48076104,98.5395437
dare,0.5,"[0.6, 0.9]",0.9431,0.6914,0.81725,98.65062762,98.16839415,98.40951088
dare,0.75,"[0.6, 0.9]",0.939,0.6886,0.8138,98.22175732,97.77083629,97.99629681
modularevo,0,"[0.5, 0.7]",0.9366,0.69,0.8133,97.98096035,97.96961522,97.97428779
modularevo,0.25,"[0.6, 0.8]",0.9286,0.7143,0.82145,97.87099494,99.70686767,98.78493131
modularevo,0.5,"[0.7, 0.7]",0.9444,0.6921,0.81825,99.51527924,98.28173814,98.89850869
modularevo,0.75,"[0.7, 0.9]",0.9426,0.698,0.8203,99.24194567,98.9088848,99.07541523
